"Level","UC ID","Rule","Use case","Original scope","Delivery status","Verification","Evidence / location","Notes"
"1 Foundation","UC-01","","Decode video source","BUILD","Delivered","Live-verified","6 RTSP cameras running at 24.5-30 fps","H.265 substream and main stream both open"
"1 Foundation","UC-02","","Deterministic loop playback","BUILD","Delivered","Automated tests","services/inference/camera_worker.py","File sources loop; used by demo and verify scripts"
"1 Foundation","UC-03","","Save reference still frame","BUILD","Delivered","Live-verified","media/<camera>_frame.jpg","Failed silently on fresh deployments until commit 307b519"
"1 Foundation","UC-04","","Annotated feed to browser","BUILD","Delivered","Live-verified","GET /api/v1/cameras/{id}/stream","MJPEG proxied through the API, not the per-camera port"
"1 Foundation","UC-05","","Stream reconnect","BUILD","Delivered","Automated tests","camera health: reconnects, dropped_frames","Auto-reopen on source drop; no crash observed"
"2 Detection & tracking","UC-06","","Person detection","BUILD","Delivered - runs","NEEDS HUMAN EYES","scripts/probe_confidence.py, evidence/","Class 0 only. Whether boxes are on people is not machine-verifiable"
"2 Detection & tracking","UC-07","","Detection tuning","BUILD","Delivered","Automated tests","config/cameras.template.yaml","conf_threshold, imgsz, model_path all config-driven"
"2 Detection & tracking","UC-08","","Persistent track IDs","BUILD","Delivered","Automated tests","ByteTrack via ultralytics","ID stability through occlusion needs human eyes"
"2 Detection & tracking","UC-09","","Ground-contact (foot) point","BUILD","Delivered","Automated tests","tests/test_geometry.py","Bottom-centre of bbox; drawn on the annotated feed"
"3 Zones & occupancy","UC-10","","Zone definition","BUILD","Delivered","Live-verified","GET /api/v1/zones, tools/zone-editor.html","capacity_max, area_sqm, restricted, thresholds per zone"
"3 Zones & occupancy","UC-11","","Point-in-polygon assignment","BUILD","Delivered","Automated tests","tests/test_zones.py","Inside / outside / on-edge / overlapping; restricted wins ties"
"3 Zones & occupancy","UC-12","","Boundary debounce","BUILD","Delivered","Automated tests","tests/test_debounce.py","N-1 frames does not trigger; N frames does"
"3 Zones & occupancy","UC-13","","Live occupancy per zone","BUILD","Delivered","NEEDS HUMAN VERIFICATION","GET /api/v1/zones/state","Head-count within +/-1 has never been validated against a real count"
