"Ref","Area","Functional requirement","Status","How it is confirmed","Notes"
"FR-01","Video monitoring","The system shall connect to the site's IP cameras and display their live video.","Delivered","Observed on site","Six cameras running concurrently"
"FR-02","Video monitoring","The system shall display an annotated view showing detected people and monitored areas, rather than the raw camera picture.","Delivered","Observed on site","Operator can switch individual overlays on and off"
"FR-03","Video monitoring","The system shall reconnect automatically when a camera connection drops, without operator intervention.","Delivered","Automated test",""
"FR-04","Video monitoring","The system shall show the live status of every camera as online, degraded, reconnecting or offline.","Delivered","Observed on site","Degraded means pictures are arriving but frozen or slow"
"FR-05","Video monitoring","The system shall allow an operator to add or remove a camera without technical assistance.","Delivered","Observed on site","Camera is added by entering its address; monitoring starts automatically"
"FR-06","Video monitoring","The system shall capture a still image from each camera for use during setup and for attaching to alerts.","Delivered","Observed on site",""
"FR-07","People detection","The system shall detect people in each camera view and disregard other objects.","Delivered","REQUIRES VISUAL CHECK","Whether every box is on a real person cannot be confirmed automatically. Furniture is occasionally detected on low-quality camera streams"
"FR-08","People detection","The system shall follow each person as they move within a camera view, keeping the same identity through brief obstruction.","Delivered","REQUIRES VISUAL CHECK","Identity swaps when two people cross need visual confirmation"
"FR-09","People detection","The system shall allow detection sensitivity to be tuned per site without software changes.","Delivered","Automated test","Measured guidance recorded: picture quality affects accuracy far more than sensitivity settings"
"FR-10","Monitored areas","The system shall allow an operator to define monitored areas by drawing them directly on the camera image.","Delivered","Observed on site","No configuration files or technical knowledge required"
"FR-11","Monitored areas","The system shall allow each monitored area to carry a name, a maximum capacity and a floor size.","Delivered","Automated test","Floor size is what makes density reporting possible"
"FR-12","Monitored areas","The system shall determine which area a person occupies based on where they are standing.","Delivered","Automated test","A seated person may not register, because the reference point is where their feet would be. See FR-16 notes"
"FR-13","Monitored areas","The system shall allow an area to be marked as restricted, meaning nobody should be inside it.","Delivered","Automated test","Drives the intrusion alert, FR-26"
"FR-14","Monitored areas","The system shall allow an area to be excluded from monitoring, so reflections, screens, posters and neighbouring premises are not counted as people.","Delivered","Automated test","Added after a person reflected in a television was counted"
"FR-15","Monitored areas","The system shall not count a person repeatedly when they linger on the boundary of an area.","Delivered","Automated test",""
"FR-16","Crowd metrics","The system shall report how many people are currently in each monitored area.","Delivered","REQUIRES OPERATOR VERIFICATION","Never checked against a manual head count. A seated person may not be counted if the drawn area does not cover where they are seated"
"FR-17","Crowd metrics","The system shall report crowd density for each area as people per square metre.","Delivered","Automated test","Approximate. Exact density needs a camera calibration exercise that is not included - see FR-55"
"FR-18","Crowd metrics","The system shall report how full each area is against its stated capacity.","Delivered","Automated test",""
"FR-19","Crowd metrics","The system shall report how long people have remained in an area.","Delivered","Automated test","Drives the loitering alert, FR-27"
"FR-20","Crowd metrics","The system shall report the rate at which people enter and leave each area.","Delivered","Automated test","Reported per minute, with five and fifteen minute trends"
"FR-21","Crowd metrics","The system shall report a single occupancy figure for the site.","Delivered","Observed on site","Counts people standing in monitored areas. Reports plainly that occupancy cannot be counted when no areas have been drawn, rather than showing zero"
"FR-22","Crowd metrics","The system shall report movement of people between monitored areas.","Delivered","Observed on site",""
"FR-23","Alerting","The system shall raise a warning when crowd density in an area exceeds the warning level.","Delivered","Automated test","Warning level is configurable per area"
"FR-24","Alerting","The system shall raise a critical alert when crowd density in an area exceeds the critical level.","Delivered","Automated test",""
"FR-25","Alerting","The system shall raise an alert when an area reaches or exceeds ninety per cent of its capacity.","Delivered","Automated test","Intended to support a decision to restrict entry"
"FR-26","Alerting","The system shall raise an immediate alert when a person enters a restricted area.","Delivered","Automated test","No delay applied, unlike the density alerts"
"FR-27","Alerting","The system shall raise an alert when a person remains in an area longer than the permitted time.","Delivered","Observed on site","Observed live during testing"
"FR-28","Alerting","The system shall raise an alert when a camera stops reporting for more than thirty seconds, and clear it when the camera recovers.","Delivered","Automated test",""
"FR-29","Alerting","The system shall not raise repeated alerts while a condition persists or fluctuates around a threshold.","Delivered","Automated test","A condition crossing back and forth produces one alert, not many"
"FR-30","Alerting","The system shall allow an operator to acknowledge an alert, recording who acknowledged it and when.","Delivered","Automated test",""
"FR-31","Alerting","The system shall allow an operator to resolve or dismiss an alert, with an optional note.","Delivered","Automated test",""
"FR-32","Alerting","The system shall attach an image of the moment to critical density alerts and restricted-area intrusions.","Delivered","Observed on site","Not attached to lower-severity alerts"
"FR-33","Operator dashboard","The system shall present live camera views, area occupancy and active alerts on a single screen.","Delivered","Observed on site",""
"FR-34","Operator dashboard","The system shall update the displayed figures continuously without the operator refreshing the page.","Delivered","Observed on site","Measured delay under one second"
"FR-35","Operator dashboard","The system shall continue displaying current information if the live connection is interrupted.","Delivered","Observed on site","Falls back automatically and recovers on its own"
"FR-36","Operator dashboard","The system shall show a recent occupancy trend for each monitored area.","Delivered","Observed on site",""
"FR-37","Operator dashboard","The system shall distinguish normal, warning and critical conditions clearly on a wall-mounted screen.","Delivered","Automated test","Normal is deliberately uncoloured so warnings carry the urgency"
"FR-38","Reporting","The system shall produce an occupancy report on demand.","Delivered","Automated test",""
"FR-39","Reporting","The system shall produce occupancy reports on a schedule.","Delivered","Automated test",""
"FR-40","Reporting","The system shall allow past events and alerts to be searched by date range, camera and area.","Delivered","Observed on site",""
"FR-41","Reporting","The system shall allow reported figures to be exported for use outside the system.","Delivered","Automated test","Available in spreadsheet-readable and machine-readable form"
"FR-42","Multiple cameras","The system shall monitor several cameras at the same time.","Delivered","Observed on site","Originally excluded from scope; added on request"
"FR-43","Multiple cameras","The system shall recognise the same person appearing on more than one camera.","Delivered","ACCURACY NOT ESTABLISHED","Originally excluded from scope; added on request. Never measured against real footage of the same people on two cameras. Do not rely on this figure for decisions yet"
"FR-44","Multiple cameras","The system shall avoid counting one person twice when two cameras can see them at the same time.","Delivered","Observed on site","Depends on the site layout being recorded correctly. Overlapping camera pairs must be identified during setup"
"FR-45","Privacy","The system shall not store personally identifying information about any individual.","Delivered","Automated test",""
"FR-46","Privacy","The system shall refer to individuals only by an anonymous reference that cannot be traced back to a person.","Delivered","Automated test","The reference is regenerated whenever the system restarts, so it cannot be used to follow someone across days"
"FR-47","Privacy","The system shall not retain the appearance data used to recognise people across cameras.","Delivered","Automated test","Held in memory only, discarded after a set period, never written to disk or logs"
"FR-48","Integration","The system shall allow an authorised third-party system to read live occupancy, alerts and camera status.","Delivered","Observed on site","Documented for the integrating developer"
"FR-49","Integration","The system shall send events, alerts and occupancy figures to the client's platform automatically.","Delivered","Automated test","Continues from where it left off after an interruption rather than losing data"
"FR-50","Integration","The system shall restrict access to authorised users and systems only.","Delivered","Automated test","Access requires a credential which can be changed or withdrawn"
"FR-51","Integration","The system shall allow an integrated platform to acknowledge alerts on the operator's behalf.","Delivered","Automated test",""
"FR-52","Not included","Automatic detection of bottlenecks where people enter faster than they leave.","Not included","n/a","Excluded from agreed scope"
"FR-53","Not included","Floor-plan heat map showing where crowding occurs.","Not included","n/a","Excluded from agreed scope"
"FR-54","Not included","Flow diagram showing movement between areas.","Not included","n/a","Excluded from agreed scope. The underlying movement figures are available - see FR-22"
"FR-55","Not included","Camera calibration to produce exact rather than approximate density.","Not included","n/a","Excluded from agreed scope. Requires a site survey. Density remains indicative - see FR-17"
"FR-56","Not included","Saving video clips of incidents for later review.","Not included","n/a","Excluded from agreed scope. Still images are attached to critical alerts - see FR-32"
